a	一个
cocksureness	自负
cocktail	鸡尾酒
cockup	失误
cocky	自大的
coco	椰子
cocoa	可可粉
cocoanut	椰子
cocobolo	红木
coconspirator	共谋者
coconut	椰子
cocoon	茧
cocooning	躲在家里过安逸生活
cocotte	砂锅
cocoyam	山药
cocuswood	染料木
cod	鳕鱼
coda	终曲
coddle	娇养
coddler	娇生惯养的人
code	代码
codefendant	共同被告
codeine	鸦片
codependency	互相依赖
codependent	互相依赖的
codependents	互相依赖的人
coder	编码器
codex	古书
codfish	鳕鱼
codger	老家伙
codicil	遗嘱附录
codification	编码
codify	编码
codling	青苹果
codon	密码子
codpiece	阴茎遮盖物
codswallop	胡说八道
coed	男女合校的学生
coeds	男女合校的学生
coeducation	男女合校教育
coeducational	男女合校的
coefficient	系数
coelacanth	腔棘鱼
coelenterate	腔肠动物
coelenteron	腔肠
coelostat	日地定向器
coenzyme	辅酶
coequal	同等的
coequals	同等的人
coerce	强制
coercion	强制
coercive	强制的
coeval	同时代的
coexist	共存
coexistence	共存
coextension	共同扩展
cofactor	辅因子
coffee	咖啡
coffeeberry	咖啡浆果
coffeecake	咖啡蛋糕
coffeehouse	咖啡馆
coffeepot	咖啡壶
coffer	保险柜
cofferdam	围堰
coffin	棺材
cofounder	共同创始人
cog	齿轮
cogency	说服力
cogent	有说服力的
cogently	有力地
coggle	摇晃
cogitate	思考
cogitation	思考
cognac	干邑酒
cognate	同源的
cognation	血缘关系
cognition	认知
cognitive	认知的
cognizance	认识
cognizant	知道的
cognize	认识
cognomen	别名
cogwheel	齿轮
cohabit	共同生活
cohabitation	同居
cohere	粘合
coherence	连贯性
coherency	连贯性
coherent	连贯的
coherently	连贯地
cohesion	凝聚力
cohesive	有凝聚力的
cohesively	有凝聚力地
cohesiveness	凝聚力
coho	银鲑鱼
cohoe	银鲑鱼
cohort	队伍
cohosh	印度鼠李
cohune	巴西棕榈
coif	发髻
coiffe	修饰
coiffeur	理发师
coiffeuse	女理发师
coiffure	发型
coign	角落
coigne	角落
coil	线圈
coin	硬币
coinage	货币制度
coincide	一致
coincidence	巧合
coincident	一致的
coincidental	巧合的
coincidentally	巧合地
coiner	铸币者
coinsurance	共同保险
coinsure	共同保险
coir	椰子纤维
coital	性交的
coition	性交
coitus	性交
coke	可乐
col	圆柱
cola	可乐
colander	滤器
colchicine	秋水仙碱
colchicum	秋水仙
cold	冷
coldcock	击倒
coldheartedness	冷酷无情
coldly	冷淡地
coldness	寒冷
cole	甘蓝
coleslaw	凉拌卷心菜
coleus	厚朴
colewort	甘蓝
colic	绞痛
colicky	绞痛的
colicroot	苦参
coliphage	大肠杆菌噬菌体
coliseum	罗马竞技场
colitis	结肠炎
collaborate	合作
collaboration	合作
collaborationism	合作主义
collaborationist	合作者
collaborative	合作的
collaborator	合作者
collage	拼贴画
collagen	胶原蛋白
collagenase	胶原酶
collapse	崩溃
collapsible	可折叠的
collar	领子
collarbone	锁骨
collard	羽衣甘蓝
collate	核对
collateral	抵押品
collateralize	以抵押品担保
collation	校对
colleague	同事
collect	收集
collectable	可收集的
collectible	可收藏的
collecting	收集
collection	收藏品
collective	集体的
collectively	共同地
collectivism	集体主义
collectivist	集体主义者
collectivization	集体化
collectivize	实行集体化
collector	收藏家
colleen	爱尔兰女孩
college	大学
collegian	大学生
collegiate	大学的
collembolan	弹尾目昆虫
collet	夹头
collide	碰撞
collider	碰撞机
collie	牧羊犬
collier	煤矿工人
colliery	煤矿
colligate	绑在一起
colligation	联结
collimate	聚焦
collimation	聚焦
collimator	聚焦器
collins	鸡尾酒
collinsia	蓝花鼠尾草
collision	碰撞
collocate	配置
collocation	搭配
collodion	碘酒
collogue	商议
colloid	胶体
colloquial	口语的
colloquialism	口语
colloquially	口语地
colloquium	学术讨论会
colloquy	对话
collotype	胶印术
collude	共谋
collusion	勾结
collusive	勾结的
colly	污垢
collyrium	眼药水
colobus	红猴
cologne	科隆香水
colombian	哥伦比亚的
colon	结肠
colonel	上校
colonial	殖民的
colonialism	殖民主义
colonialist	殖民主义者
colonic	结肠的
colonist	殖民者
colonization	殖民化
colonize	殖民化
colonizer	殖民者
colonnade	柱廊
colonoscope	结肠镜
colonoscopy	结肠镜检查
colony	殖民地
colophon	印刷商标
colophony	松香
color	颜色
coloradan	科罗拉多州人
coloration	着色
coloratura	声乐技巧
colorblind	色盲的
colorcast	色偏
colored	有色的
colorfast	不褪色的
colorful	色彩丰富的
colorfully	色彩丰富地
colorimeter	色度计
colorimetry	色度测定
coloring	着色
colorist	色彩师
colorize	着色
colorless	无色的
colorlessness	无色
colossal	巨大的
colossally	极其地
colossian	歌罗西的
colossus	巨像
colostomy	结肠造口术
colostrum	初乳
colpitis	阴道炎
colt	小马
colter	犁铧
coltish	调皮的
coltsfoot	马蹄草
coluber	蛇属
colubrid	蛇科的
colugo	飞鼠
columbarium	骨灰堂
columbary	鸽舍
columbine	水仙花
columbite	铌钽矿
columbium	铌
columella	柱头
column	柱子
columnea	鸽子花
columned	有柱子的
columniation	柱子排列
columnist	专栏作家
colza	菜籽油
coma	昏迷
comanche	科曼奇族
comatose	昏迷的
comatula	海百合
comatulid	海百合科的
comb	梳子
combat	战斗
combatant	战斗员
combative	好战的
combativeness	好战性
comber	海浪
combination	组合
combine	结合
combing	梳理
combo	组合
combretum	红树
combust	燃烧
combustibility	易燃性
combustible	易燃的
combustibleness	易燃性
combustion	燃烧
come	来
comeback	回来
comedian	喜剧演员
comedic	喜剧的
comedienne	喜剧女演员
comedo	粉刺
comedown	失败
comedy	喜剧
comeliness	美丽
comely	美丽的
comer	来者
comestible	食品
comet	彗星
comeuppance	报应
comfit	糖果
comfort	安慰
comfortable	舒适的
comfortableness	舒适
comfortably	舒适地
comforter	被子
comfortingly	安慰地
comfrey	锦前子
comfy	舒适的
comic	喜剧的
comical	滑稽的
comicality	滑稽
comically	滑稽地
coming	即将到来的
comity	友好
comma	逗号
command	命令
commandant	指挥官
commandeer	征用
commander	指挥官
commandership	指挥权
commandery	指挥部
commandment	戒律
commando	突击队员
commemorate	纪念
commemoration	纪念
commemorative	纪念的
commence	开始
commencement	开始
commend	推荐
commendable	值得称赞的
commendably	值得称赞地
commendation	表扬
commensal	共栖生物
commensalism	共生关系
commensurable	可比较的
commensurate	相称的
commensurateness	相称
comment	评论
commentary	评论
commentate	解说
commentator	评论员
commerce	商业
commercial	商业的
commercialism	商业主义
commercialization	商业化
commercialize	商业化
commercially	商业上
commie	共产党员
comminate	威胁
commination	威胁
commingle	混合
comminute	粉碎
commiserate	同情
commiseration	同情
commissar	政委
commissariat	军需处
commissary	军需官
commission	委托
commissionaire	门房
commissioner	委员
commissure	连接
commit	承诺
commitment	承诺
committal	承诺
committee	委员会
committeeman	委员
committeewoman	委员
commix	混合
commixture	混合
commode	马桶
commodious	宽敞
commodiousness	宽敞
commodity	商品
commodore	海军准将
common	共同的
commonage	共有地
commonality	共性
commonalty	平民
commoner	平民
commonly	通常
commonness	普遍性
commonplace	平凡的
commonplaceness	平凡
commonweal	公益
commonwealth	共和国
commotion	骚动
commove	激动
communal	公共的
communalism	公社主义
communalize	公有化
communally	公共地
commune	公社
communicable	传染的
communicant	交流者
communicate	交流
communication	交流
communicative	善于交流的
communicativeness	沟通能力
communicator	通讯器
communion	圣餐
communique	公报
communism	共产主义
communist	共产主义者
communistic	共产主义的
community	社区
communization	共产化
communize	共产化
commutability	可交换性
commutate	交流
commutation	交流
commutative	交换的
commutator	换向器
commute	通勤
commuter	通勤者
comp	计算机
compact	紧凑的
compaction	压实
compactly	紧凑地
compactness	紧凑性
compactor	压路机
compactors	压路机
companion	伴侣
companionability	友好
companionable	友好的
companionableness	友好
companionship	友谊
companionway	舱口
company	公司
comparability	可比性
comparable	可比较的
comparably	可比较地
comparative	比较的
comparatively	相对地
compare	比较
comparison	比较
compart	隔开
compartment	隔间
compartmentalization	分隔
compartmentalize	分隔
compass	指南针
compassion	同情
compassionate	有同情心的
compassionately	充满同情地
compassionateness	同情心
compatibility	兼容性
compatible	兼容的
compatibles	兼容
compatibly	兼容性
compatriot	同胞
compeer	同僚
compel	强迫
compellingly	令人信服地
compendia	汇编
compendium	概要
compensate	补偿
compensation	补偿
compensatory	补偿性的
compere	主持人
compete	竞争
competence	能力
competency	能力
competent	有能力的
competently	能干地
competition	竞争
competitive	竞争的
competitively	竞争地
competitiveness	竞争力
competitor	竞争对手
compilation	编译
compile	编译
compiler	编译器
complacence	自满
complacency	自满
complacent	自满的
complacently	自满地
complain	抱怨
complainant	投诉人
complainer	抱怨者
complaint	抱怨
complaisance	殷勤
complaisant	殷勤的
complaisantly	殷勤地
complect	编织
complement	补充
complementarity	互补性
complementary	互补的
complementation	补充
complete	完成
completely	完全地
completeness	完整性
completion	完成
complex	复杂
complexify	复杂化
complexion	肤色
complexity	复杂性
complexness	复杂性
compliance	遵从
compliancy	顺从
compliant	顺从的
complicate	使复杂化
complicatedness	复杂性
complication	并发症
complicity	共谋
compliment	赞美
complimentary	赠送的
complin	晚祷
compline	晚祷
complot	密谋
comply	遵从
component	组件
comport	举止
comportment	举止
compose	组成
composer	作曲家
composite	复合材料
compositeness	复合性
composition	组成
compositor	排版工
compost	堆肥
composure	镇静
compote	水果甜食
compound	化合物
comprehend	理解
comprehensibility	可理解性
comprehensible	可理解的
comprehension	理解
comprehensive	全面的
comprehensively	全面地
comprehensiveness	全面性
compress	压缩
compressibility	可压缩性
compression	压缩
compressor	压缩机
comprise	包括
compromise	妥协
compromiser	妥协者
comptroller	主计长
comptrollership	主计长职位
compulsion	强制
compulsive	强制的
compulsively	强制地
compulsiveness	强制性
compulsivity	强制性
compulsories	必修课
compulsorily	强制地
compulsory	强制性的
compunction	内疚
computation	计算
computational	计算的
computationally	计算上
compute	计算
computer	计算机
computerization	计算机化
computerize	计算机化
comrade	同志
comradeliness	友情
comradery	友谊
comradeship	友谊
comstockery	假正经
comte	康德
con	反对
concatenate	连接
concatenation	连接
concave	凹的
concaveness	凹度
concavity	凹陷
conceal	隐藏
concealment	隐藏
concede	承认
conceit	自负
conceited	自负的
conceitedness	自负
conceivability	可想象性
conceivable	可想象的
conceivableness	可想象性
conceivably	可能地
conceive	想象
conceiver	设想者
concenter	集中
concentrate	集中
concentration	集中
concentric	同心的
concentrically	同心地
concentricity	同心度
concept	概念
conception	概念
conceptual	概念的
conceptualism	概念主义
conceptuality	概念性
conceptualization	概念化
conceptualize	概念化
conceptually	概念上
conceptus	概念
concern	关心
concert	音乐会
concertina	手风琴
concertize	演奏音乐会
concertmaster	指挥
concertmasters	指挥
concerto	协奏曲
concession	让步
concessionaire	特许经营者
concessioner	特许经营者
conch	贝壳
concha	耳壳
conchfish	海螺
conchologist	贝类学家
conchology	贝类学
concierge	门房
conciliate	安抚
conciliation	调解
conciliator	调解人
conciliatory	安抚的
concise	简洁的
concisely	简洁地
conciseness	简洁
concision	简明扼要
conclave	秘密会议
conclude	结束
conclusion	结论
conclusive	决定性的
conclusively	决定性地
conclusiveness	决定性
concoct	调制
concoction	调制品
concomitance	伴随
concomitant	伴随的
concord	和谐
concordance	一致
concordant	和谐的
concordat	协定
concourse	聚集地
concrete	混凝土
concretely	具体地
concreteness	具体性
concretion	凝结物
concretism	具体主义
concretize	使具体化
concubinage	妾
concubine	妾
concupiscence	贪欲
concur	同意
concurrence	同意
concurrency	同时发生
concurrent	同时发生的
concurrently	同时地
concuss	震动
concussion	脑震荡
condemn	谴责
condemnation	谴责
condemnatory	谴责的
condensate	冷凝物
condensation	冷凝
condense	浓缩
condenser	冷凝器
condescend	屈尊
condescendingly	屈尊地
condescension	屈尊
condiment	调味品
condition	条件
conditional	有条件的
conditionality	条件性
conditionally	有条件地
conditionals	条件句
conditioner	护发素
conditioning	调节
condo	公寓
condoes	同情
condole	同情
condolence	同情
condom	避孕套
condominium	公寓
condonation	宽恕
condone	宽恕
condor	秃鹰
conduce	有助于
conducive	有助于的
conduct	行为
conductance	电导
conduction	传导
conductive	传导性的
conductivity	电导率
conductor	导体
conductress	女指挥家
conduit	导管
condyle	髁状突
cone	锥体
coneflower	锥花
conenose	锥头虫
coney	兔子
confab	闲谈
confabulate	闲谈
confabulation	闲谈
confect	制作
confection	糖果
confectionary	糖果店
confectioner	糖果师
confectionery	糖果店
confederacy	联盟
confederate	同盟者
confederation	联盟
confer	授予
conferee	受邀者
conference	会议
conferencing	视频会议
conferment	授予
conferral	授予
conferrer	授予者
conferva	水蕨
confess	坦白
confessedly	无可否认地
confession	坦白
confessional	忏悔的
confessor	忏悔者
confetti	糖果
confidant	心腹朋友
confidante	女心腹朋友
confide	倾诉
confidence	信心
confident	自信的
confidential	机密的
confidentiality	机密性
confidentially	秘密地
confidently	自信地
configurable	可配置的
configuration	配置
configurationism	配置主义
configure	配置
confine	限制
confinement	限制
confirm	确认
confirmation	确认
confirmatory	确认的
confiscate	没收
confiscation	没收
confit	煮熟的肉
confiture	果酱
conflagrate	燃烧
conflagration	大火
conflate	合并
conflict	冲突
confluence	汇合处
confluent	汇合的
conflux	汇合
conform	符合
conformance	一致性
conformation	构造
conformism	从众主义
conformist	从众者
conformity	一致性
confound	使困惑
confrere	同行
confront	面对
confrontation	对抗
confrontational	对抗性的
confucian	儒家的
confuse	使困惑
confusedly	困惑地
confusedness	困惑
confusingly	令人困惑地
confusion	困惑
confutation	反驳
confute	反驳
confuter	反驳者
conga	康加舞
conge	凝结
congeal	凝固
congealment	凝固
congee	粥
congelation	凝固
congener	同系物
congeneric	同系的
congenial	意气相投的
congeniality	意气相投
congenially	意气相投地
congenialness	意气相投
congenital	先天的
congenitally	先天地
conger	鳗鱼
congest	堵塞
congestion	拥堵
congestive	充血的
congius	加仑
conglobate	聚集
conglobation	聚集
conglobe	聚集
conglomerate	聚集体
conglomeration	聚集
conglutinate	粘合
conglutination	粘合
congo	刚果
congou	红茶
congratulate	祝贺
congratulation	祝贺
congratulatory	祝贺的
congregant	会众
congregate	聚集
congregation	会众
congregational	教会的
congregationalism	圣公会制度
congregationalist	圣公会教徒
congress	国会
congressional	国会的
congressman	国会议员
congresswoman	女国会议员
congruence	一致
congruent	全等的
congruity	一致性
congruous	适合的
congruousness	适合
conic	圆锥的
conical	圆锥形的
conidiophore	孢子梗
conidiospore	孢子
conidium	孢子
conifer	针叶树
coniferous	针叶树的
conima	菌核
conium	毒芹
conjectural	推测的
conjecture	推测
conjoin	连接
conjoint	联合的
conjugal	夫妻的
conjugate	共轭的
conjugation	共轭
conjunction	连词
conjunctiva	结膜
conjunctive	连接的
conjunctivitis	结膜炎
conjuncture	关键时刻
conjuration	咒语
conjure	召唤
conjurer	魔术师
conjuring	魔术
conjuror	魔术师
conjury	咒语
conk	猛击
conker	马栗球
conn	连接
connect	连接
connectedness	连通性
connecter	连接器
connection	连接
connective	连接的
connectivity	连通性
connector	连接器
conniption	发脾气
connivance	默许
connive	纵容
conniver	纵容者
connivers	纵容者们
connoisseur	行家
connoisseurship	鉴赏力
connotation	内涵
connotative	内涵的
connote	意味着
connubial	夫妻的
conodont	齿形动物
conoid	锥体
conquer	征服
conqueror	征服者
conquest	征服
conquistador	征服者
consanguinity	血缘关系
conscience	良心
conscientious	尽责的
conscientiously	尽责地
conscientiousness	尽责
conscious	有意识的
consciously	有意识地
consciousness	意识
conscript	征兵
conscription	征兵制度
consecrate	祝圣
consecration	祝圣
consecutive	连续的
consecutively	连续地
consensual	一致同意的
consensus	共识
consent	同意
consequence	后果
consequent	随之发生的
consequential	重要的
consequently	因此
conservancy	管理
conservation	保护
conservationist	环保人士
conservatism	保守主义
conservative	保守的
conservatively	保守地
conservatoire	音乐学院
conservator	保护者
conservatory	温室
conserve	保存
consider	考虑
considerable	相当大的
considerably	相当地
considerate	体贴的
considerately	体贴地
considerateness	体贴
consideration	考虑
consign	托运
consignee	收货人
consignment	委托
consignor	发货人
consist	组成
consistence	浓度
consistency	一致性
consistent	一致的
consistently	一贯地
consistory	圣堂会议
consociate	合伙人
consolation	安慰
console	安慰
consolidate	巩固
consolidation	巩固
consomme	清汤
consonance	和谐
consonant	辅音
consort	配偶
consortium	财团
conspecific	同种的
conspectus	概要
conspicuous	显眼的
conspicuously	显著地
conspicuousness	显著性
conspiracy	阴谋
conspirator	阴谋者
conspiratorial	阴谋的
conspire	密谋
constable	警察
constabulary	警察的
constance	坚定
constancy	忠诚
constant	恒定的
constantan	康斯坦丹合金
constantly	不断地
constatation	证明
constellate	成群
constellation	星座
consternate	使惊恐
consternation	惊恐
constipate	便秘
constipation	便秘
constituency	选民
constituent	成分
constitute	构成
constitution	宪法
constitutional	宪法的
constitutionalism	宪政主义
constitutionalist	宪政主义者
constitutionality	符合宪法
constitutionalize	使宪法化
constitutionally	依照宪法地
constrain	限制
constraint	约束
constrict	压缩
constriction	压缩
constrictive	压缩的
constrictor	缩窄器
constringe	收缩
construal	解释
construct	构建
construction	建筑
constructive	建设性的
constructively	建设性地
constructiveness	建设性
constructivism	建构主义
constructivist	建构主义者
constructor	建筑师
construe	解释
consubstantiate	同体化
consubstantiation	同体化
consuetude	习惯
consuetudinary	习惯法的
consul	领事
consular	领事的
consulate	领事馆
consulship	领事职位
consult	咨询
consultancy	咨询公司
consultant	咨询师
consultation	咨询
consultative	咨询的
consumable	消耗品
consumables	消耗品
consume	消费
consumer	消费者
consumerism	消费主义
consummate	完美的
consummation	完成
consumption	消费
consumptive	消耗性的
contact	联系
contactable	可联系的
contagion	传染
contagious	传染性的
contain	包含
container	容器
containerize	使成为集装箱运输
containership	集装箱船
containment	遏制
contaminant	污染物
contaminate	污染
contamination	污染
contemn	轻视
contemplate	沉思
contemplation	沉思
contemplative	沉思的
contemplativeness	沉思性
contemporaneity	同时代
contemporaneous	同时代的
contemporaneously	同时地
contemporaneousness	同时性
contemporary	当代的
contemporize	使与时俱进
contempt	轻蔑
contemptibility	可轻蔑性
contemptible	可鄙的
contemptibly	卑劣地
contemptuous	轻蔑的
contemptuously	轻蔑地
contemptuousness	轻蔑性
contend	竞争
contender	竞争者
content	内容
contentedly	满意地
contentedness	满足感
contention	争论
contentious	有争议的
contentiously	有争议地
contentiousness	争议性
contentment	满足
contest	竞赛
contestant	参赛者
contestation	争辩
contester	竞争者
context	上下文
contextual	语境的
contiguity	接近
contiguous	相邻的
contiguousness	相邻性
continence	自制
continency	节制
continent	大陆
continental	大陆的
continentals	大陆的
contingence	偶然性
contingency	意外事件
contingent	依情况而定的
continual	不断的
continually	不断地
continuance	继续
continuant	连音的
continuation	继续
continuative	连接的
continue	继续
continuity	连续性
continuo	低音部
continuous	连续的
continuously	不断地
continuousness	连续性
continuum	连续体
conto	短篇小说
contort	扭曲
contortion	扭曲
contortionist	杂技演员
contour	轮廓
contra	反对
contraband	走私品
contrabandist	走私者
contrabass	低音大提琴
contrabassoon	低音巴松管
contraception	避孕
contraceptive	避孕的
contract	合同
contractile	收缩的
contractility	收缩性
contraction	收缩
contractor	承包商
contractual	合同的
contractually	合同上
contracture	挛缩
contradance	对舞
contradict	反驳
contradiction	矛盾
contradictoriness	矛盾性
contradictory	矛盾的
contradistinction	对比
contradistinguish	区别
contrafagotto	低音巴松管
contrail	飞机尾迹
contraindicate	禁忌
contraindication	禁忌
contralto	女低音
contraption	奇妙的装置
contrapuntal	对位的
contrapuntist	对位法作曲家
contrarian	反其道而行之的人
contrariety	对立；矛盾
contrarily	相反地
contrariness	倔强；固执
contrariwise	相反地
contrary	相反的；对立的
contrast	对比；对照
contravene	违反；反对
contravention	违反；反对
contredanse	康特舞
contretemps	不愉快的事件
contribute	贡献；捐助
contribution	贡献；捐款
contributor	贡献者；捐助者
contributory	促成的；捐款的
contrite	悔过的；痛悔的
contritely	悔过地；痛悔地
contriteness	悔过；痛悔
contrition	悔过；痛悔
contrivance	发明；策划
contrive	设计；策划
contriver	发明者；策划者
control	控制；管理
controllable	可控制的
controller	控制器；管理者
controllership	控制权
controversial	有争议的
controversialist	爱争论者
controversially	有争议地
controversy	争议；争论
controvert	反驳；驳斥
contumacious	不服从的；倔强的
contumacy	不服从；倔强
contumely	侮辱；无礼
contuse	损伤；打伤
contusion	挫伤；撞伤
conundrum	难题；谜语
conurbation	城市群
convalesce	恢复健康；渐愈
convalescence	恢复期；康复期
convalescent	恢复期的
convect	对流
convection	对流；传热
convector	对流器
convene	召集；集合
convener	召集人；主席
convenience	便利；方便
convenient	方便
conveniently	方便地
convent	修道院
conventicle	私人宗教聚会
convention	大会
conventional	传统的
conventionalism	传统主义
conventionality	传统性
conventionalization	传统化
conventionalize	使传统化
conventionally	传统上
conventioneer	大会参与者
converge	汇聚
convergence	汇聚
convergency	汇聚性
convergent	汇聚的
conversance	熟悉
conversancy	熟悉
conversant	熟悉的
conversation	对话
conversational	对话的
conversationalist	健谈者
conversationally	对话地
conversationist	对话者
converse	相反的
conversely	相反地
conversion	转变
convert	转变
converter	转换器
convertibility	可转换性
convertible	可转换的
convertor	转换器
convex	凸的
convexity	凸性
convexness	凸度
convey	传达
conveyance	运输
conveyancer	产权转让人
conveyancing	产权转让
conveyer	传送带
conveyor	传送带
convict	定罪
convictfish	有刺的鱼
conviction	定罪
convince	说服
convincingly	令人信服地
convincingness	令人信服
convivial	欢乐的
conviviality	欢乐
convocation	大会
convoke	召集
convolute	卷绕
convolution	卷积
convolve	旋转
convolvulus	牵牛花
convoy	护航
convulse	抽搐
convulsion	痉挛
convulsive	痉挛的
convulsively	痉挛地
coo	咕咕叫
cooccur	同时发生
cook	厨师
cookbook	食谱
cooker	炊具
cookery	烹饪术
cookhouse	厨房
cookie	饼干
cooking	烹饪
cookout	烧烤
cookstove	炉灶
cookware	炊具
cooky	烤饼
cool	凉爽的
coolant	冷却剂
cooler	冷却器
coolie	苦力
coolly	冷静地
coolness	凉爽
cooly	印度人
coon	浣熊
coondog	猎浣熊犬
coonhound	猎浣熊犬
coonskin	浣熊皮
coontie	蕨类植物
coop	笼子
cooped	监禁
cooper	制桶工人
cooperate	合作
cooperation	合作
cooperative	合作的
cooperatively	合作地
cooperativeness	合作性
cooperator	合作者
cooping	关押
coordinate	协调
coordination	协调
coordinator	协调员
coot	水鸟
cooter	沼泽龟
cootie	虱子
cop	警察
copaiba	胶树
copal	琥珀树脂
copartner	合伙人
copartnership	合伙关系
cope	应付
copeck	科普克
copepod	桡足类动物
copestone	顶石
copier	复印机
copilot	副驾驶员
coping	应对
copious	丰富的
copiously	大量地
copiousness	丰富
copolymer	共聚物
copolymerize	共聚
copout	推卸责任
copper	铜
copperhead	铜头蛇
copperplate	铜版
coppersmith	铜匠
copperware	铜器
coppery	铜色的
coppice	矮林
copra	椰子肉
coprolalia	排泄语
coprolite	化石粪便
coprolith	粪石
coprophagy	食粪
copse	小树林
copter	直升机
copters	直升机
copula	连词
copulate	交配
copulation	交配
copulative	连接的
copy	复制
copybook	课本
copycat	模仿者
copycatted	模仿
copycatting	模仿
copyedit	编辑
copyhold	租地
copyholder	持有人
copyist	抄写员
copyread	校对
copyreader	校对员
copyright	版权
copywriter	文案
coquet	卖弄风情的男子
coquetry	卖弄风情
coquette	卖弄风情的女子
coquettish	卖弄风情的
coquille	贝壳形状的食品
coracle	圆形小船
coral	珊瑚
coralberry	珊瑚果
coralroot	珊瑚根
coralwort	珊瑚草
corbel	悬臂石托
corbiestep	梯形石阶
corbina	石首鱼
cord	绳子
cordage	粗绳
cordgrass	红根草
cordial	热情友好的
cordiality	热情友好
cordially	热情地
cordierite	蓝晶石
cordite	烟火药
cordless	无绳的
cordoba	科尔多瓦货币
cordon	警戒线
cordoned	被隔离的
cordoning	隔离
cordovan	染成马鞍色的小牛皮革
corduroy	灯芯绒
cordwood	柴火
cordyline	火麻树
core	核心
coreligionist	同教者
coreopsis	金鸡菊
corer	取芯器
corespondent	通信者
corgi	威尔士柯基犬
coriander	芫荽
corinthian	科林斯柱式的
corium	真皮
cork	软木
corkage	软木塞费
corkboard	软木板
corker	极好的东西
corkscrew	瓶塞拔子
corkwood	软木材
corm	块茎
cormorant	鸬鹚
corn	玉米
cornball	陈腐的笑话
cornballs	陈腐的笑话
cornbread	玉米面包
corncob	玉米棒
corncrake	玉米鸟
corncrib	玉米仓
cornea	角膜
corneal	角膜的
cornel	山茱萸
cornelian	玉髓
corner	角落
cornerback	角卫
cornerstone	基石
cornet	短号
cornetfish	短号鱼
cornetist	短号手
cornfield	玉米田
cornflakes	玉米片
cornflour	玉米粉
cornflower	矢车菊
cornhusk	玉米皮
cornhusker	剥玉米者
cornhusking	剥玉米
cornice	窗头线
cornishman	康沃尔人
cornmeal	玉米粉
cornpone	玉米煎饼
cornrow	玉米排
cornrowed	编织玉米排
cornrowing	编织玉米排
cornrows	玉米排
cornstalk	玉米秆
cornstarch	玉米淀粉
cornu	角
cornucopia	丰饶角
cornus	山茱萸属
cornwallis	康沃利斯
corny	陈腐的
corolla	花冠
corollary	推论
corona	日冕
coronach	挽歌
coronal	冠状的
coronary	冠状动脉的
coronate	加冕
coronation	加冕典礼
coroner	验尸官
coronet	冠
corozo	象牙棕榈
corp	公司
corporal	下士
corporality	肉体性
corporate	公司的
corporation	公司
corporatism	企业主义
corporatist	企业家
corporeal	肉体的
corporeality	实体性
corposant	圣火
corps	军团
corpse	尸体
corpulence	肥胖
corpulency	肥胖
corpulent	肥胖的
corpus	语料库
corpuscle	血球
corrade	磨损
corral	畜栏
corrasion	磨损
correct	正确的
correctable	可纠正的
correction	改正
correctional	矫正的
correctitude	正确性
corrective	纠正的
correctly	正确地
correctness	正确性
corrector	校对员
corregidor	岛屿总督
correlate	相关联的
correlation	相关
correlative	相关的
correlativity	相对性
correspond	对应
correspondence	通信
correspondent	记者
correspondingly	相应地
corrida	斗牛
corridor	走廊
corrie	山谷
corrigenda	勘误表
corroborate	证实
corroboration	证实
corroborative	证实的
corrode	腐蚀
corrosion	腐蚀
corrosive	腐蚀性的
corrugate	起皱
corrugation	起皱
corrupt	腐败的
corruptibility	易腐蚀性
corruptible	易腐蚀的
corruption	腐败
corruptly	腐败地
corruptness	腐败
corsage	胸花
corsair	海盗
corse	尸体
corselet	胸甲
corset	腰部束腰
cortege	随行人员
cortex	皮质
cortical	皮质的
corticoid	皮质类固醇
corticosteroid	皮质类固醇
corticosterone	皮质酮
corticotrophin	促肾上腺皮质激素
corticotropin	促肾上腺皮质激素
cortina	遮帘
cortisol	皮质醇
cortisone	皮质酮
corundum	刚玉
coruscate	闪耀
coruscation	闪耀
corvee	劳役
corvette	轻型护卫舰
corvus	渡鸦
corydalis	紫堇属植物
corylopsis	山茱萸属植物
corylus	榛属植物
corymb	花序
coryza	鼻炎
cosec	余割
cosecant	余割
cosh	棍棒
cosher	吃免费饭
cosign	共同签署
cosignatory	共同签署人
cosigner	共同签署人
cosine	余弦
cosmea	秋葵属植物
cosmetic	化妆品
cosmetically	化妆品上
cosmetician	美容师
cosmetologist	美容学家
cosmetology	美容学
cosmic	宇宙的
cosmically	宇宙地
cosmid	宏基因组
cosmogeny	宇宙起源
cosmogony	宇宙起源
cosmographer	地理学家
cosmography	宇宙地理学
cosmolatry	宇宙崇拜
cosmological	宇宙学的
cosmologist	宇宙学家
cosmology	宇宙学
cosmonaut	宇航员
cosmopolitan	世界主义者
cosmopolite	世界主义者
cosmos	宇宙
cosmotron	宇宙线加速器
cosponsor	共同发起人
cossack	哥萨克人
cosset	娇生惯养的人或动物
cost	花费
costalgia	肋骨疼痛
costar	合演的演员
costarred	与某演员合作演出的
costarring	与某演员合作演出
costars	合演的演员
costermonger	街头小贩
costing	成本核算
costliness	昂贵
costly	昂贵的
costmary	苦艾草
costume	服装
costumer	服装设计师
costumier	服装设计师
cosy	舒适的
cot	小床
cotan	余切
cotangent	余切
cote	鸽舍
cotenant	共有人
coterie	小圈子
cotillion	康庭舞会
cotinga	红嘴霸鹟
